    20000         0         0   179.437   429.318         0   3.71217   14.2831   17.9952   14.2831   61.8944
    19900    4.1958    4.1958   179.438   428.356         0   6.50803    29.735   36.2431    15.452   60.6217
    19800   606.108   1025.69   186.787   416.162         2   20.3264   39.0082   59.3346   9.27317  -150.402
    19700         0   61030.4   49.0893   347.489         0    95.517   183.519   279.036   144.511  -924.957
    19600   13.8464   61044.3   18.1473   383.536         0   116.161   356.792   472.952   173.273  -905.707
    19500   13.8101   62428.9   14.2327   418.233         0   120.314   531.509   651.823   174.717  -891.838
    19400   4.74804   63800.8   16.0307    441.16 0.0795323   140.934   706.998   847.933   175.489  -879.255
    19300         0   64270.9   18.4675   423.585         0    148.22   880.081    1028.3   173.083  -863.754
    19200         0   64270.9   19.3304   396.367         0   157.053   1052.33   1209.38    172.25  -845.676
    19100         0   64270.9   19.3609   376.181         0   183.672   1224.06   1407.73   171.729  -827.126
    19000         0   64270.9   19.3217   362.881         0   223.091   1396.64   1619.73   172.578  -808.506
    18900         0   64270.9   19.3222    352.18         0   270.511   1570.03   1840.54   173.388  -790.125
    18800         0   64270.9   19.3624   342.518         0   336.233   1740.63   2076.87   170.608  -772.251
    18700         0   64270.9   19.4313   335.058         0   419.155   1912.47   2331.63   171.839  -755.108
    18600         0   64270.9    19.519     329.7         0   519.265   2086.85   2606.12   174.381  -738.875
    18500         0   64270.9   19.6176   325.778         0   629.428   2255.36   2884.78   168.502  -723.681
    18400         0   64270.9   19.7213   322.886         0   707.891    2423.3    3131.2   167.949  -709.607
    18300   13529.8   77800.7   19.9755    316.56         0   777.061   2591.35   3368.41   168.044   -845.02
    18200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    18100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    18000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    17000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    16000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    15000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    14000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    13000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    12000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    11000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
    10000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     9000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8600       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8500       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8400       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8300       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8200       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8100       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     8000       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7900       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7800       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
     7700       nan       nan      -nan      -nan       nan       nan       nan       nan      -nan      -nan
